threshold,samples,avg_hits,hit_3_plus_rate,hit_4_plus_rate,max_hits
-5.0,15,0.8,0.0667,0.0,3
-4.5,10,0.9,0.0,0.0,2
-4.0,10,0.9,0.0,0.0,2
-3.5,10,0.9,0.0,0.0,2
-3.0,10,0.9,0.0,0.0,2
-2.5,10,0.9,0.0,0.0,2
-2.0,10,0.9,0.0,0.0,2
-1.5,10,0.9,0.0,0.0,2
-1.0,10,0.9,0.0,0.0,2
-0.5,10,0.9,0.0,0.0,2
0.0,10,0.9,0.0,0.0,2
0.5,10,0.9,0.0,0.0,2
1.0,10,0.9,0.0,0.0,2
1.5,10,0.9,0.0,0.0,2
2.0,10,0.9,0.0,0.0,2
2.5,10,0.9,0.0,0.0,2
3.0,10,0.9,0.0,0.0,2
3.5,5,0.6,0.0,0.0,1
4.0,5,0.6,0.0,0.0,1
4.5,5,0.6,0.0,0.0,1
5.0,5,0.6,0.0,0.0,1
5.5,5,0.6,0.0,0.0,1
6.0,5,0.6,0.0,0.0,1
6.5,5,0.6,0.0,0.0,1
7.0,5,0.6,0.0,0.0,1
7.5,5,0.6,0.0,0.0,1
8.0,5,0.6,0.0,0.0,1
8.5,5,0.6,0.0,0.0,1
9.0,5,0.6,0.0,0.0,1
9.5,5,0.6,0.0,0.0,1
10.0,5,0.6,0.0,0.0,1
10.5,5,0.6,0.0,0.0,1
11.0,5,0.6,0.0,0.0,1
11.5,5,0.6,0.0,0.0,1
12.0,2,0.5,0.0,0.0,1
